school_name,state,division,sat_average,lower_sat_score,upper_sat_score
DU,NC,1,1545,1520,1570
WF,NC,1,1455,1410,1500
ASU,NC,1,1185,1100,1270
UNCW,NC,1,1285,1230,1340
UNCG,NC,1,1242.5,1150,1335
UNCA,NC,1,1255,1180,1330
WCU,NC,1,1140,1050,1230
NCSU,NC,1,1365,1290,1440
UNC,NC,1,1440,1360,1520
UNCC,NC,1,987.5,665,1310
EU,NC,1,1280,1200,1360
MHU,NC,2,1020,910,1130
CU,NC,2,875,800,950
BC,NC,2,1060,970,1150
CC,NC,2,1111.5,1038,1185
LC,NC,2,905,830,980
UNCP,NC,2,1020,910,1130
ECSU,NC,2,860,750,970
LMCU,NC,2,1095,930,1260
WU,NC,2,1090,970,1210
WSSU,NC,2,970,920,1020
FSU,NC,2,946.5,868,1025
GC,NC,3,1065,960,1170
MC,NC,3,1181.5,1093,1270
MU,NC,3,1177.5,1110,1245
NCWU,NC,3,990,860,1120
PU,NC,3,1022.5,895,1150
SC,NC,3,1199,1083,1315
WP,NC,3,1210,1145,1275
PC,SC,1,1145,1020,1270
WU,SC,1,1110,1020,1200
WC,SC,1,1275,1210,1340
CCU,SC,1,1125,1050,1200
CT,SC,1,1185,1100,1270
CU,SC,1,1320,1240,1400
CC,SC,1,1220,1150,1290
FU,SC,1,1349,1280,1418
USCU,SC,1,1045,940,1150
USC,SC,1,1245,1150,1340
COKU,SC,2,2100,940,1160
NBU,SC,2,1014,928,1100
NGU,SC,2,1070,950,1190
LU,SC,2,1025,930,1120
FMU,SC,2,1025,900,1150
SWU,SC,2,1080,1020,1140
USCA,SC,2,1087.5,975,1200
APSU,TN,1,967.5,828,1107
BU,TN,1,1255,1160,1350
ETSU,TN,1,1085,980,1190
LPU,TN,1,1200,1110,1290
UM,TN,1,1040,930,1150
MTSU,TN,1,1115,1010,1220
UT,TN,1,1285,1210,1360
UTC,TN,1,1090,1020,1160
TSU,TN,1,965,900,1030
TTU,TN,1,1120,1010,1230
VU,TN,1,1530,1500,1560
CNU,TN,2,1071.5,960,1183
LMU,TN,2,1100,1002,1198
LEU,TN,2,1115,1020,1210
TNU,TN,2,1090.5,988,1193
CBU,TN,2,577.5,515,640
KU,TN,2,1085.5,1008,1163
LU,TN,2,1230,1150,1310
MC,TN,3,1079,1043,1115
RC,TN,3,1390.5,1318,1463
SUS,TN,3,1291.5,1220,1363
UV,VA,1,1470,1400,1540
VCU,VA,1,1150,1040,1260
ODU,VA,1,1195,1120,1270
UR,VA,1,1470,1430,1510
JMU,VA,1,1245,1180,1310
CWM,VA,1,1465,1400,1530
GMU,VA,1,1245,1160,1330
LU,VA,1,1180,1060,1300
HU,VA,1,1080,990,1170
RU,VA,1,1050,930,1170
VMI,VA,1,1195,1120,1270
UVAW,VA,2,1062.5,940,1185
SU,VA,3,1210,1125,1295
BC,VA,3,1200,1010,1390
AU,VA,3,1080,985,1175
RMC,VA,3,1102.5,990,1215
RC,VA,3,1145,1080,1210
WLU,VA,3,1485,1430,1540
CNU,VA,3,1205,1120,1290
MBU,VA,3,960,810,1110
HSC,VA,3,1170,1110,1230
